can,可以
balance,平衡
Mentioned,提到
doubt,怀疑
happy,幸福
position,职位
daughter,女儿
fuel,燃料
electronic,电子
the way,道路
wait,等待
on Monday,周一
minister,部长
infection,感染
loss,损失
natural gas,天然气
Sheng Pu,圣普
roll out,推出
life,人生
Yield,产量
prevent,防止
marry,结婚
pain,痛苦
index,指数
coffee,咖啡
fund,基金
Fiction,小说
As,担任
surgery,手术
background,背景
Audience,观众
Expand,展开
manager,经理
Immigration,移民
data,资料
character,人物
assets,资产
psychological,心理
practice,实践
McCain,麦凯恩
Enhance,提升
Myanmar,缅甸
Residents,居民
comment,评论
Google,谷歌
earthquake,地震
Training,培训
on Wednesday,周三
skill,技能
Stay,留下
teacher,老师
alliance,联盟
community,社区
adapt,适应
Sleep,睡眠
dialogue,对话
Imagine,想象
Process,工艺
Engaged,从事
opinion,意见
Roger that,收到
Hh,唿吁
computer,计算机
intend,打算
Image,形象
parameter,参数
Egypt,埃及
give,给予
surface,表面
before,面前
official,官方
skin,皮肤
Early,早期
Home,家里
consumption,消费
customer,顾客
Hit,打击
measuring,测量
obvious,明显
Two years,两年
College,学院
learn,学会
turn on,打开
military,军事
Feel,感受
violence,暴力
One,一部
Countries,各国
welcome,欢迎
crowd,人群
open,开放
see,看见
Wearing,穿着
Do it,做到
practice,做法
Play,发挥
Do not want to,不想
Last week,上周
lawyer,律师
Canada,加拿大
definition,定义
marriage,婚姻
The essential,关键
contain,包含
Enhanced,增强
highway,公路
flight,航班
correct,正确
reconstruction,重建
related,有关
Prohibited,禁止
speak,说话
Interview,面试
create,创建
police,警方
Put in,投入
Lisbon,里斯本
spend,花费
Grow,生长
Thursday,周四
protest,抗议
element,元素
Go,前往
process,进程
expected,预期
Set,设置
arms,武器
prevent,阻止
rule,规则
currency,货币
Portuguese,葡语
emotion,情感
Speaking,讲话
financial,财政
Employment,就业
Medical,医疗
Allegations,指控
disappear,消失
pursue,追求
application,应用程序
good,良好
benefit,好处
answer,答案
South,南部
Earth,地球
hurt,伤害
view,看法
possibility,可能性
meets the,符合
air,空气
style,风格
delegation,代表团
railway,铁路
installation,安装
athlete,运动员
Ukraine,乌克兰
Improve,改进
Go out,出去
Focus,重点
time,时刻
virus,病毒
detail,细节
ideal,理想
teacher,教师
Well done,做好
similar,类似
goods,货物
remind,提醒
Arrivals,到达
progress,进展
cause,事业
happy,高兴
Operate,运营
complex,复杂
effectiveness,效率
park,公园
God,上帝
Transfer,转移
growing up,成长
algorithm,算法
Confirmed,证实
cost,成本
wealth,财富
Looks like,显得
Organized,举办
statement,说法
Friday,周五
base,基地
Born,出生
disclose,透露
talks,会谈
perfect,完美
RMB,人民币
invite,邀请
Tradition,传统
rich,丰富
expect,期望
North,北部
constitute,构成
facility,设施
future,将来
leader,领袖
Book,本书
Ms,女士
size,大小
baby,婴儿
Performance,表演
industry,产业
obstacle,障碍
teaching,教学
thing,事物
interesting,有趣
Device,装置
search for,搜索
A,一份
guide,指导
graduate,毕业生
advisory,咨询
people,民众
Identity,身份
freed,释放
day,日子
man,男子
force,部队
achievement,成就
power,动力
Accusation,指责
core,核心
collect,收集
Shoot,拍摄
store,商店
image,图像
machine,机器
Return home,回家
tendency,倾向
Was hit,遭到
grasp,掌握
Peasants,农民
infrastructure,基础设施
independent,独立
confidence,信心
way,途径
boy,男孩
Determination,测定
spread,传播
think,想到
Regarded as,视为
trust,信任
example,例子
rely,依赖
paper,论文
Experience,体验
Above,高于
complain,抱怨
explosion,爆炸
parliament,议会
remember,记得
Be applicable,适用
distance,距离
reader,读者
group,小组
In,中有
action,动作
request,请求
Relax,放松
victory,胜利
combination,组合
Summary,摘要
Ranking,排名
celebrate,庆祝
writer,作家
Worry,担忧
College Students,大学生
reflect,体现
come back,回来
inhibition,抑制
remember,记住
eliminate,消除
suffer,遭受
change,转变
opponent,对手
foreign,国外
Fight for,争取
graduation,毕业
supply,供应
intermediate,中间
better,更好
progress,进步
anger,愤怒
next year,明年
several years,几年
Below,低于
think,以为
diagnosis,诊断
the weather,天气
maintain,维护
At that time,那时
profit,利润
modernization,现代化
Korea,朝鲜
real estate,房地产
dispute,争议
reduce,削减
newspaper,报纸
Fear,害怕
Fall in,陷入
Ethnic,民族
Score,成绩
Simultaneously,同时
contain,含有
Said,所说
symptom,症状
White House,白宫
tension,紧张
effect,效应
appointment,约会
club,俱乐部
shut down,关闭
mail,邮件
Around,身边
Jehovah,耶和华
statistics,统计
National,全国
wedding,婚礼
unit,单位
debate,辩论
Add to,添加
Supervisor,主管
love,爱情
forum,论坛
concern,关心
index,指标
morning,早上
source,来源
Construct,构建
fear,恐惧
skill,技巧
live,居住
Separated,分离
Speech,演讲
cancel,取消
stock,股票
judgment,判断
Recruitment,招聘
Years ago,年前
diamond,钻石
inferred,得出
Compare,比较
This week,本周
principle,原理
Code,代码
religion,宗教
look forward to,期待
positive,积极
Celebrity,明星
Like,像是
Wrote,写道
Countryside,农村
claim,声称
List,清单
Olympic Games,奥运会
desire,渴望
Expand,扩展
Player,球员
bear,承担
Looked,看着
sun,太阳
concentration,浓度
feeling,感情
attention,注意力
actor,演员
memory,记忆
gift,礼物
Disappointed,失望
capital,资本
Obtain,获取
employer,雇主
simulation,模拟
respect,尊重
From,是从
citizen,公民
bill,法案
Related,相关
restaurant,餐厅
manufacturer,制造商
food,粮食
Funding,资助
port,港口
soldier,士兵
Explain,阐述
topic,话题
planning,规划
electricity,电力
expenditure,支出
Business,事务
explore,探索
submit,提交
Processing,加工
optimization,优化
thinking,思维
location,地点
That way,那样
Supervision,监管
Sao Paulo,圣保罗
put up,建造
bad,糟糕
metal,金属
depending on,取决于
set off,出发
Tell,讲述
Nomination,提名
Rescue,救援
shareholder,股东
area,面积
work out,锻炼
Everyone,所有人
Respond,回应
nerve,神经
Not bad,不错
diplomatic,外交
Fall,下跌
insufficient,不足
body weight,体重
weekend,周末
survive,生存
principal,负责人
passenger,乘客
hair,头发
consultant,顾问
daily,日报
coordination,协调
Injured,受伤
damage,损害
absorb,吸收
Taiwan,台湾
moral,道德
diet,饮食
confidence,自信
modify,修改
literature,文学
talk,谈论
Talent,人才
Three years,三年
Interested,感兴趣
publishing,出版
fighting,战斗
crime,犯罪
overseas,海外
Two people,两人
bacterial,细菌
on site,现场
Child,小孩
conversation,谈话
impression,印象
Where you are,所在
entrepreneur,企业家
the same,相同
Palestine,巴勒斯坦
Familiar with,熟悉
Behind,后面
Apartment,公寓
trouble,麻烦
Implementation,实行
ten years,十年
database,数据库
aviation,航空
supporter,支持者
Named,名为
court,法庭
Thailand,泰国
in the afternoon,下午
treat,对待
Members,议员
group,群体
series,系列
prospect,前景
Reduce,减轻
Zimbabwe,津巴布韦
Armed,武装
Sign,标志
strength,强度
creation,创作
Court,法院
import,进口
huge,巨大
Headquarters,总部
With,带有
Chinese government,中国政府
rely,依靠
businessman,商人
image,图片
contribution,贡献
satisfaction,满意
thank,感谢
Go down,下去
break out,爆发
enough,足够
flight,飞行
fashion,时尚
Transformation,改造
have,具备
economist,经济学家
communication,沟通
to sum up,总结
partner,伙伴
Planting,种植
confirm,确认
Central Bank,央行
Convenience,方便
houses,房屋
attend,出席
rich,富有
Looks like,样子
growth rate,增长率
emission,发射
nature,性质
enemy,敌人
Something,某种
status quo,现状
wage,工资
position,立场
word,单词
Compared,对比
decision making,决策
Call,打电话
Consistent,一致
General Assembly,大会
Greece,希腊
transport,运输
similar,相似
anyone,任何人
set up,设立
robot,机器人
forest,森林
Suck,唿吸
rest,休息
Divided into,分为
ground,地面
ACCIDENT,事故
Watch,观看
End of the year,年底
Called,叫做
Yes,得以
encounter,遭遇
Updated,更新
Held,召开
launch,发动
Islamic,伊斯兰
On the road,路上
Influence,影响力
group,团体
soil,土壤
East Timor,东帝汶
Play,扮演
Publicity,宣传
Results,成果
two countries,两国
Control group,对照组
Earlier,早些时候
law,规律
climate,气候
enter,输入
perfect,完善
return,返回
director,主任
Block,区块
tax,税收
importance,重要性
frame,框架
Keep,保留
arrival,到来
Pollution,污染
smile,微笑
Assumptions,假设
Plus,加上
Credit,信贷
The field,场上
Happy,开心
NATO,北约
Mexico,墨西哥
overall,整体
library,图书馆
Promotion,推广
It seems,看来
physical education,体育
get rid of,摆脱
idea,理念
judge,法官
administrative,行政
forget,忘记
Hands,手中
protein,蛋白
Recognize,识别
Romney,罗姆尼
staff member,工作人员
command,命令
mechanical,机械
constitution,宪法
federal,联邦
from now on,今后
popular,流行
universe,宇宙
name,名称
blood,血液
Libya,利比亚
Talked about,谈到
clever,聪明
Concept,观念
excitation,激励
muscle,肌肉
graduate School,研究所
distribution,分配
mixing,混合
People will,人会
church,教堂
sign,迹象
wisdom,智慧
Pay attention,重视
ocean,海洋
replace,取代
Couple,夫妇
curve,曲线
generate,生成
Classmate,同学
Discussion,论述
Blog,博客
Researcher,研究者
Partner,合作伙伴
lucky,幸运
mathematics,数学
Pay,付出
sure,肯定
solution,解决方案
set,一套
deny,否认
beer,啤酒
popular,受欢迎
translation,翻译
laboratory,实验室
Attractive,吸引力
enthusiasm,热情
Cited,援引
damage,损伤
Summit,峰会
This,这场
Fans,粉丝
cover,覆盖
All over,各地
Georgia,格鲁吉亚
favorite,喜爱
Tuesday,星期二
Hopeful,有望
David,大卫
human body,人体
ceremony,仪式
in this way,如此
Muslim,穆斯林
director,导演
faith,信仰
beneficial to,有利于
break in,打破
Going,走向
Member States,成员国
Limited,有限公司
Exercise,练习
fat,脂肪
teens,青少年
Take care,照顾
version,版本
prevention,预防
expenditure,开支
defect,缺陷
Opposition,反对派
Economy,经济体
Turkey,土耳其
widely,广泛
Parents,家长
Founder,创始人
Protection,保障
Nigeria,尼日利亚
Dedicated to,致力于
money,金钱
Notice,通知
Drink,饮料
retirement,退休
human rights,人权
fiber,纤维
brothers,兄弟
anxiety,焦虑
lump sum,总额
Kenya,肯尼亚
team,球队
article,物品
He can,他会
Find out,找出
ambassador,大使
financial crisis,金融危机
potential,潜力
the host,主人
Friday,星期五
server,服务器
Creative,创意
writing,写作
California,加州
Grab,抓住
front,前面
Paris,巴黎
outside,外面
Secretary of State,国务卿
edge,边缘
Still,还会
corn,玉米
companion,伴侣
traffic,交通
legislation,立法
Scenes,场景
Terms,条款
mature,成熟
boundary,边界
Communication,通信
clothing,服装
artist,艺术家
football,足球
examination,考试
Significant,显着
George,乔治
Dollars,美元
Return,回报
young,年轻
Microsoft,微软
rule,统治
entertainment,娱乐
recovery,复苏
exploration,勘探
bar,酒吧
Rubbish,垃圾
University,高校
after,经过
Initiated,发起
behind,背后
revolution,革命
gas,气体
frequency,频率
save,保存
enjoy,欣赏
Associated,关联
open,开设
Analyst,分析师
bomb,炸弹
Savings,储蓄
confrontation,对抗
year,年度
lady,夫人
Singapore,新加坡
disaster,灾难
volunteer,志愿者
in the past,以往
Promote,促使
set up,设定
question,质疑
bread,面包
lifetime,一生
powerful,强大
shopping,购物
all around the world,世界各地
See,见到
function,函数
soul,灵魂
Designer,设计师
ingredient,成分
father,爸爸
It is very important,至关重要
Five years,五年
Paul,保罗
keep away,远离
Tourism,旅游业
Promote,推进
climate change,气候变化
shape,形状
situation,局面
foundation,基金会
engineer,工程师
Operation,运作
Intervention,干预
Aerial,空中
decoration,装饰
invention,发明
east,东部
tomorrow,明天
waste,浪费
Left,剩下
Can you?,能否
common,常见
debate,争论
Chemistry,化学
fair,公平
woman,女子
screen,屏幕
step,步骤
arrival,抵达
sunlight,阳光
repair,修复
it works,有用
Rat,大鼠
Spend it,度过
Board of Directors,董事会
Positioning,定位
Introduced,引入
income,收益
Show,展现
get over,克服
struggle,斗争
Netherlands,荷兰
The bank,该行
mining,矿业
A few more,几比
Los Angeles,洛杉矶
situation,形势
Supervision,监督
Authorized,授权
Monday,星期一
interference,干扰
form,形态
extend,延长
Dilemma,困境
force,迫使
edit,编辑
Four years,四年
gender,性别
President,总裁
campus,校园
Gaza,加沙
On the ground,地上
champion,冠军
business,生意
glass,玻璃
protein,蛋白质
cash,现金
on Saturday,周六
situation,局势
optimism,乐观
the difference,区别
Variety,品种
energy,精力
determination,决心
external,外部
the latter,后者
real,真实
A week,一周
vehicle,车辆
museum,博物馆
cancer,癌症
opportunity,机遇
Traveler,旅客
wine,葡萄酒
One,一只
Already,已有
job seeker,求职者
fruit,水果
accelerate,加快
interest rate,利率
Easy,轻松
Heart,心里
resume,简历
as a result of,后果
Specified,指定
resignation,辞职
Mainly,为主
transfer,传递
west,西部
soon,不久
next to,旁边
vegetables,蔬菜
cost,代价
Operator,运营商
Player,选手
smart phone,智能手机
No,并非
Developing countries,发展中国家
charm,魅力
instead,代替
Space,太空
decline,衰退
Surprised,惊讶
vitality,活力
prosperity,繁荣
housing,住房
gold,黄金
exchange,交换
track,轨道
bicycle,自行车
zone,地带
Total,共有
pain,疼痛
convince,说服
ease,缓解
black,黑色
registered,注册
king,国王
Praia,普拉亚
proposal,提议
route,航线
Sanctions,制裁
Text,文字
quality,品质
nutrition,营养
Period,为期
alcohol,酒精
dissatisfied,不满
prince,王子
in vivo,体内
Brown,布朗
active,活性
Mining,开采
property,财产
package,包装
driver,司机
in contrast,相反
Vietnam,越南
Time,时光
Rendered,呈现
around,围绕
expansion,扩张
object,物体
Mouse,小鼠
specification,规范
Recently,近期
black,黑人
structure,构造
vocabulary,词汇
construction,施工
table,桌子
Business,商务
unfortunately,不幸
verification,验证
American government,美国政府
This class,此类
adventure,冒险
change,变革
lack,缺少
confusion,混乱
come,过来
Into,走进
song,歌曲
reveal,揭示
Stay in,留在
General,将军
kitchen,厨房
heart,内心
combustion,燃烧
summer,夏天
Gates,盖茨
Memories,回忆
sufficient,足以
chat,交谈
List,名单
size,尺寸
Impact,冲击
general election,大选
contradiction,矛盾
beautiful,美丽
Hydropower station,水电站
return,回归
corruption,腐败
World Bank,世界银行
drop out,退出
mood,心情
map,地图
Swim,游泳
Bankruptcy,破产
scholar,学者
Equivalent to,相当于
condemn,谴责
Features,特色
Nature,本质
development,发育
unique,独特
normal,正常
The results show,结果显示
philosophy,哲学
It is said that,听说
Face,脸上
Visit,参观
Sudan,苏丹
extract,提取
taste,味道
terrorism,恐怖主义
Blood vessels,血管
Kill,杀死
Turn,转向
The country,本国
happy,愉快
youth,青年
Chairman,董事长
Gundam,高达
claim,宣称
Competitors,竞争对手
Add it,加以
Play,起到
Rise,升高
Thursday,星期四
test,检验
bear,承受
mark,标记
Bonds,债券
Get it,拿到
heart,心脏
assist,协助
employee,雇员
last month,上个月
investment bank,投资银行
reference,参考
satellite,卫星
Conversion,转化
casino,赌场
Clean up,清理
socialism,社会主义
train,火车
military,军方
deploy,部署
Million people,万人
species,种类
US military,美军
in the morning,早晨
go to bed,睡觉
fierce,激烈
monitor,监测
coal,煤炭
Nothing,毫无
color,色彩
Deformation,变形
prominent,突出
exchange rate,汇率
send,发送
divorce,离婚
festival,节日
Out,走出
Ecology,生态
Account,账户
missile,导弹
victim,受害者
regime,政权
assistant Manager,助理
Through,穿过
occupy,占据
middle East,中东
Death,丧生
Hollywood,好莱坞
toy,玩具
deterioration,恶化
fate,命运
A group,一组
Michael,迈克尔
meeting,会晤
Gather together,聚集
burden,负担
raw material,原料
Disagreement,分歧
Symbol,象征
urge,敦促
Frustrated,沮丧
recommend,推荐
Bridge,大桥
Old man,老人
strong,强烈
Judgment,审判
prison,监狱
View,查看
track,跟踪
Kind of,那种
Sunday,周日
get together,聚会
Falling,下滑
Pretty,漂亮
stress,应力
character,性格
Insurance,保险
One,一座
Site,部位
equality,平等
Neglect,忽视
e-mail,电子邮件
books,书籍
battery,电池
Crazy,疯狂
family,家族
queen,女王
Implied,暗示
Giant,巨头
Cost,耗资
Go to work,上班
comply with,遵守
Fusion,融合
Review,审查
Configuration,配置
Executives,高管
health,卫生
ask,询问
guide,引导
rock,岩石
Two,两位
central,中央
production,制成
MOP,澳门元
Species,物种
World Cup,世界杯
date,日期
courage,勇气
physical,物理
phrase,短语
chocolate,巧克力
accident,意外
for many years,多年
coastal,海岸
Cognition,认知
Participants,参与者
news agency,通讯社
unemployment,失业
Heart,心中
International Monetary Fund,国际货币基金组织
Efficacy,疗效
logic,逻辑
Marketing,营销
Sunday,星期天
manufacturer,生产商
Wednesday,星期三
Take it out,拿出
put off,推迟
pipeline,管道
Discover yourself,发现自己
Years,年间
Central,中部
hero,英雄
Putin,普京
yesterday,昨天
Think about it,想想
difficult,艰难
Senate,参议院
cycle,循环
occasion,场合
pissed off,生气
Advocate,主张
List,列表
Name,名叫
Died,去世
strange,奇怪
Conversion,转换
refugee,难民
Christmas,圣诞节
synthesis,合成
Entrepreneurship,创业
Cheaper,便宜
telecommunications,电信
Focus,专注
clear,明确
Consortium,财团
Take action,采取行动
length,长度
Passion,激情
commemorate,纪念
Speech,言论
Holiday,假期
preparation,制备
arrest,逮捕
destination,目的地
TV station,电视台
Tumor,肿瘤
qualifications,资格
breakfast,早餐
case,案件
Jesus,耶稣
Hinder,阻碍
Beyond,超越
this,这项
litigation,诉讼
Weibo,微博
density,密度
limited,有限
such as,之类
farm,农场
political party,政党
Drive,开车
Fly to,飞往
personality,个性
flow,流动
violation,违反
Be careful,小心
punishment,惩罚
stability,稳定性
hate,讨厌
advantage,优点
main body,主体
foam,泡沫
ignore,忽略
Competitiveness,竞争力
Ireland,爱尔兰
In-depth,深入
maritime,海上
R & D,研发
suicide,自杀
storage,存储
place,场所
race,种族
Put it,放到
credit card,信用卡
try,设法
Beautiful,美好
attempt,企图
Hamas,哈马斯
street,街道
Leading,领先
Excited,兴奋
emission,排放
Concrete,混凝土
Salary,薪酬
Peter,彼得
Two,两名
newborn,新生
focus,焦点
Rome,罗马
Miss,小姐
Case,案例
Cooperation,配合
William,威廉
Its,旗下
Elected,当选
accurate,准确
Attributes,属性
in accordance with,依据
Give,赋予
engine,发动机
grow up,长大
measure,衡量
flat,平板
poor,贫困
soldier,军人
Build,修建
Rebel,叛军
harm,危害
rocket,火箭
Doctrine,主义
text,文本
Finance,财务
Suitable,合适
Development,研制
Output,输出
Level,层面
Atlantic,大西洋
accelerate,加速
at this time,此时
Instance,实例
adjust,调节
support,支撑
cycle,周期
One,一篇
border,边境
High school,高中
restaurant,餐馆
Carla,卡拉
accumulation,积累
Business school,商学院
